2025-08-20 08:37:24,893 serial_wrap.py, line 83, ERROR:get_anwser error:device reports readiness to read but returned no data (device disconnected or multiple access on port?)
2025-08-20 08:37:27,360 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,360 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,360 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,361 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,361 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,362 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,362 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,363 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,363 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,364 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,364 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,365 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,365 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,366 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,366 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,367 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,367 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,367 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,368 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,368 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,369 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,369 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,370 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,370 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,371 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,371 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,372 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,372 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,373 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,373 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,374 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,374 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,375 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,375 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,376 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,376 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,377 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,377 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,377 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,378 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,378 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,379 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,379 camera.py, line 82, ERROR:read:读取图像错误!!!!
2025-08-20 08:37:27,380 camera.py, line 82, ERROR:read:读取图像错误!!!!
